Timestamp,Which of the following sentences BEST describes an architecture view?,How many years have you been developing software?,Number of OSS projects contributed to with at least one commit,How would you describe your OSS contribution?,What is your current role(s) in your organization?,What is your primary role in relation to architecture views?,"Architecture views should use an informal notation (for example boxes and arrows, icons)",Legends are not necessary in an architecture view,Architecture views should show the entire project and not just a portion of it,Architecture views should provide a high level overview of a project,Design information and runtime information are equally important to be reported in architecture views,Technologies used in a project are important in architecture views,What is the most valuable purpose(s) of an architecture view?,What is the most important concern(s) an architecture view should cover?,Which is the most important quality attribute an architecture view should cover?,For which activity of the project lifecycle do you find architecture views most useful? (5-point usefulness grid) [Architecture design],For which activity of the project lifecycle do you find architecture views most useful? (5-point usefulness grid) [Coding / implementation],For which activity of the project lifecycle do you find architecture views most useful? (5-point usefulness grid) [Maintenance / operations],"Are you using in some way any standard notation in your architecture views? If so, which ones?",How important are the following elements in your architecture views? [Architectural components (for example code classes)],How important are the following elements in your architecture views? [Connection/Interaction (for example HTTP calls)],How important are the following elements in your architecture views? [Layers (for example the front end)],How important are the following elements in your architecture views? [Technologies (for example Kubernetes)],How important are the following elements in your architecture views? [Nested Components (for example elements of a layer)],How important are the following elements in your architecture views? [Users (for example end users)],How important are the following elements in your architecture views? [Legends (for example meaning of the colors used)],"If you believe important elements were missing above, please specify them with their importance (as example, code snippets - very important)",Which tool do you use to create architecture views? (if any),"If you are using a tool, what made you pick it?",What are the biggest challenges you face when creating architecture views?,Who is the intended user of your architecture views?,To which extent is it important to have versionable architecture views (version control with change tracking)?,To which extent is it important to have collaborative environment integration for architecture view editing?,To which extent is it important to have ready to be-used architecture view templates?,To which extent is it important to directly link architecture view elements to software artifact (for example code classes)?,To which extend is it important to be able to automatically generate architecture views from the code?,Do you use any (semi-)automatic tool for architecture view creation?,"If yes, please specify which tool you use",Which of the following aspects could in your opinion be automated?,"In your opinion, how will the creation of architecture views change in the future?",Any further comments o suggestions?
12/12/2024 19:14:09,A graphical representation showing the structure of system components,11-15 years,1-3 projects,Core/maintainer team member,Software Developer,Both creating and using architecture views,4,2,5,5,4,4,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Assist communication among team members, Highlight architecture patterns, Show component dependencies","Control flow, Connection of components","Functionality, Interaction capability, Maintainability, Flexibility",Very important,Neutral,Neutral,,Important,Important,Important,Important,Neutral,Neutral,Neutral,,NA,"Easy to use, Rich of features","Complex to create, Hard to mantain, Nobody uses the architecture views afterwards, Insufficient architectural design skills","Myself, Existing contributors, Project maintainers",5,4,4,4,5,No,,"Identification of connections / interaction between components, Architecture view update",generated by AI,
12/12/2024 19:48:15,A graphical representation showing the structure of system components,4-6 years,4-10 projects,Regular contributor,Software Developer,Both creating and using architecture views,5,1,2,4,4,4,"Clarify the system structure, Ease understanding complex interactions, Assist communication among team members, Help in design decision-making, Aid system documentation, Facilitate system evolution tracking, Highlight architecture patterns, Show component dependencies","General documentation, Control flow, Data flow","Functionality, Interaction capability, Maintainability, Flexibility",Very important,Important,Important,"UML, C4",Important,Important,Very important,Important,Important,Unimportant,Important,,"Draw.io / Diagram.net, PowerPoint / Keynote / Slides","Easy to use, Rich of features, Versatile, Free to use, Supports collaboration","Complex to create, Hard to mantain, Lack of templates, Lack of tools, Too time consuming, Nobody uses the architecture views afterwards","Myself, New potential contributors, Existing contributors, Project maintainers",5,4,3,1,2,No,,NONE,,
12/12/2024 19:54:47,A graphical representation showing the structure of system components,11-15 years,21+ projects,Occasional contributor,"Software Developer, Technical Lead",Both creating and using architecture views,5,4,4,5,2,1,"Ease understanding complex interactions, Assist communication among team members","Data flow, Separation of concerns","Functionality, Compatibility, Interaction capability",Unimportant,Important,Very important,,Very unimportant,Important,Important,Very unimportant,Neutral,Very important,Important,User journey - important,"Draw.io / Diagram.net, miro, markdown","Easy to use, Free to use, Supports collaboration","Complex to create, Hard to mantain, Too time consuming","Myself, New potential contributors, Existing contributors, Project maintainers",4,5,3,1,3,No,,"Identification of connections / interaction between components, Architecture view update, Architecture view validation, Linking architecture view elements to code artefacts (code classes, technologies, etc)",I believe large language models are going to aid architecture creation from documentation and from code,
12/12/2024 20:36:44,A graphical representation showing the structure of system components,4-6 years,1-3 projects,Occasional contributor,"Software Developer, Technical Lead, DevOps Engineer",Creating architecture views,4,3,2,4,3,4,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Help in design decision-making, Aid system documentation, Highlight architecture patterns, Show component dependencies","General documentation, Control flow, Connection of components",Not sure,Very important,Unimportant,Important,,Unimportant,Very important,Neutral,Neutral,Very important,Neutral,Important,,Draw.io / Diagram.net,"Easy to use, Already used in my development company, Versatile, Free to use","Complex to create, Hard to mantain, Too time consuming, Nobody uses the architecture views afterwards","Myself, New potential contributors, Existing contributors, Project maintainers",1,1,3,3,3,No,,"Identification of architecture components, Identification of connections / interaction between components, Architecture view creation, Architecture view update, Architecture view validation, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/12/2024 21:04:03,A graphical representation showing the structure of system components,7-10 years,11-20 projects,Occasional contributor,Technical Lead,Using architecture views,5,1,1,5,3,4,"Clarify the system structure, Support onboarding new developers, Help in design decision-making, Highlight architecture patterns","Deployment, Data flow, Connection of components",Maintainability,Very important,Unimportant,Important,,Important,Very important,Important,Important,Very unimportant,Very important,Important,,"Draw.io / Diagram.net, pyhton diagrams","Easy to use, Free to use","Complex to create, Hard to mantain, Lack of tools","Myself, Existing contributors, Project maintainers",5,4,2,3,5,Yes,python diagrams,"Identification of connections / interaction between components, Architecture view creation, Architecture view update, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/12/2024 22:42:33,A graphical representation showing the structure of system components,16+ years,21+ projects,Regular contributor,"Software Developer, Software Architect, Product Owner, Technical Lead",Both creating and using architecture views,5,1,1,4,2,1,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Assist communication among team members, Help in design decision-making, Show component dependencies","Data flow, Connection of components",Not sure,Very important,Unimportant,Important,C4,Important,Very important,Important,Very unimportant,Important,Very important,Very important,,Miro,"Easy to use, Frequent updates, Supports collaboration","Complex to create, Hard to mantain, Too time consuming","Myself, New potential contributors, Existing contributors, Project maintainers",3,5,1,5,5,Yes,self-build prototype,"Identification of connections / interaction between components, Linking architecture view elements to code artefacts (code classes, technologies, etc)","It will become more dynamic, generated from real system behaviour.",
12/12/2024 23:22:33,A graphical representation showing the structure of system components,16+ years,21+ projects,Regular contributor,"Software Developer, Software Architect, DevOps Engineer",Both creating and using architecture views,5,4,4,5,2,2,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Assist communication among team members, Help in design decision-making, Aid system documentation, Highlight architecture patterns, Show component dependencies","Deployment, Connection of components","Functionality, Interaction capability, Reliability, Security",Important,Neutral,Important,UML,Unimportant,Important,Important,Very important,Unimportant,Important,Unimportant,,lucid.app,"Easy to use, Rich of features, Frequent updates, Integration with other tools, Versatile, Presence of templates, Supports collaboration","Hard to mantain, Too time consuming","Myself, New potential contributors, Existing contributors, Project maintainers",5,5,4,2,2,No,,"Identification of connections / interaction between components, Architecture view update, Architecture view validation",AI powered generation and validation,
12/13/2024 1:26:13,A graphical representation showing the structure of system components,16+ years,21+ projects,Regular contributor,Freelance Software Engineer,Both creating and using architecture views,5,4,3,5,3,3,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Assist communication among team members, Aid system documentation, Facilitate system evolution tracking, Visualize runtime behaviour, Show component dependencies","Deployment, Control flow, Data flow, Connection of components","Functionality, Compatibility, Flexibility",Very important,Important,Very important,https://excalidraw.com,Neutral,Very important,Neutral,Very important,Very important,Unimportant,Very unimportant,,https://excalidraw.com,"Easy to use, Versatile, Free to use",Hard to mantain,"Myself, New potential contributors, Existing contributors, Project maintainers",4,3,1,1,3,Yes,Mermaid,Identification of architecture components,"Just keep it minimal and simple. The more effort it takes to build them, people will not be bothered to keep them up to date.",
12/13/2024 4:05:18,A graphical representation showing the structure of system components,16+ years,4-10 projects,Core/maintainer team member,CEO,Both creating and using architecture views,5,1,4,5,4,3,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Assist communication among team members, Help in design decision-making, Aid system documentation, Facilitate system evolution tracking, Highlight architecture patterns, Visualize runtime behaviour, Show component dependencies, Show internal and external interfaces (more importantly external in High level Arch)","Connection of components, Show internal and external interfaces (more importantly external in High level Arch), Components with right granularity, Why architecture clarity","Functionality, Performance, Compatibility, Interaction capability, Reliability, Security, Maintainability, Flexibility, Safety",Very important,Important,Neutral,"UML, mindmaps, simple block diagrams with interface definitions",Neutral,Important,Very important,Neutral,Important,Very important,Very important,"1. Interface definitions and components views
2. Purpose view (Why arch and components)
3. Components and interfaces define your system. This clarity starts from arch, then move to High level architecture, design and low level design and implementation. This can be think or thick based on the solution or product","Draw.io / Diagram.net, PowerPoint / Keynote / Slides, Visio, mindmap tools and whiteboard :)","Easy to use, Free to use, Supports collaboration, Simple and right elements to use.","Perceived low value, Nobody uses the architecture views afterwards, Insufficient architectural design skills, Development mindset of people (Do it and see the result of the code now!)","Myself, End users, New potential contributors, Existing contributors, Project maintainers, Directly or indirectly it helps in product definitions. So all stakeholders in SDLC",4,5,4,4,4,No,,"Identification of architecture components, Identification of connections / interaction between components, Architecture view creation, Architecture view update, Architecture view validation, Linking architecture view elements to code artefacts (code classes, technologies, etc), However the why part needs to be clear with the creator. He should be able to define it to get it generated if any",Define my needs->Generate automatically the first cut (this can get more accurate based on the advancements)->update to finalize,"1. Interface definitions and components views
2. Purpose view (Why arch and components)
3. Components and interfaces define your system. This clarity starts from arch, then move to High level architecture, design and low level design and implementation. This can be think or thick based on the solution or product"
12/13/2024 4:21:44,A graphical representation showing the structure of system components,4-6 years,1-3 projects,Core/maintainer team member,Software Developer,Using architecture views,5,2,1,3,2,4,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Assist communication among team members, Help in design decision-making, Aid system documentation, Facilitate system evolution tracking, Show component dependencies","Control flow, Data flow, Connection of components","Functionality, Performance, Compatibility, Interaction capability, Reliability, Security, Maintainability, Flexibility, Safety",Very important,Very important,Very important,"UML, C4, Cloud & Enterprise",Important,Very important,Very important,Important,Neutral,Very important,Important,,"Draw.io / Diagram.net, PowerPoint / Keynote / Slides, Visio","Easy to use, Rich of features, Integration with other tools, Free to use, Supports collaboration","Lack of existing documentation, Too time consuming, Insufficient architectural design skills","Myself, End users, New potential contributors, Existing contributors, Project maintainers",4,4,3,5,4,No,,"Identification of architecture components, Identification of connections / interaction between components, Architecture view creation, Architecture view update, Architecture view validation, Linking architecture view elements to code artefacts (code classes, technologies, etc)",One-click generation,
12/13/2024 4:31:00,A graphical representation showing the structure of system components,7-10 years,4-10 projects,Core/maintainer team member,Software Developer,Both creating and using architecture views,2,1,4,5,5,3,"Clarify the system structure, Assist communication among team members, Help in design decision-making, Facilitate system evolution tracking, Highlight architecture patterns","Data flow, Connection of components","Functionality, Performance, Reliability, Flexibility, Safety",Very important,Important,Neutral,UML,Very important,Very important,Very important,Neutral,Neutral,Unimportant,Neutral,,Draw.io / Diagram.net,"Easy to use, Rich of features, Free to use","Lack of templates, Too time consuming","Myself, New potential contributors, Existing contributors, Project maintainers",4,4,5,2,3,No,,Identification of connections / interaction between components,,
12/13/2024 5:44:27,A graphical representation showing the structure of system components,4-6 years,11-20 projects,Regular contributor,Software Developer,Both creating and using architecture views,3,2,1,4,2,4,"Clarify the system structure, Ease understanding complex interactions, Assist communication among team members, Help in design decision-making, Aid system documentation, Show component dependencies","Control flow, Data flow","Functionality, Reliability, Security, Maintainability",Very important,Important,Important,UML,Very important,Very important,Neutral,Important,Neutral,Important,Neutral,,"Draw.io / Diagram.net, Lucidchart","Easy to use, Already used in my development company","Hard to mantain, Too time consuming","Myself, New potential contributors, Project maintainers",2,4,3,4,2,No,,"Identification of architecture components, Identification of connections / interaction between components, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/13/2024 7:37:24,A graphical representation showing the structure of system components,2-3 years,4-10 projects,Occasional contributor,"Software Architect, DevOps Engineer",Both creating and using architecture views,4,1,2,4,2,2,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Help in design decision-making, Facilitate system evolution tracking, Show component dependencies","General documentation, Connection of components","Functionality, Interaction capability",Very important,Important,Very important,"UML, Mostly NONE, but UML rarely.",Unimportant,Very important,Very important,Important,Neutral,Important,Very important,,"Draw.io / Diagram.net, Lucidchart, Miro","Easy to use, Rich of features, Already used in my development company, Biggest factor for me - UI/UX (gestures, animations, ""delightful to use"")",Hard to mantain,"Myself, New potential contributors, Existing contributors, Project maintainers",5,3,4,2,3,No,,"Identification of architecture components, Identification of connections / interaction between components, Architecture view creation, Architecture view update",,
12/13/2024 9:03:46,A detailed code implementation of a software system,7-10 years,1-3 projects,Occasional contributor,"Software Developer, Technical Lead",Both creating and using architecture views,1,1,5,5,4,5,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Assist communication among team members, Help in design decision-making, Highlight architecture patterns, Visualize runtime behaviour","Control flow, Data flow, Connection of components",Maintainability,Important,Very important,Very important,4+1 View Model,Very important,,,,,,,,Draw.io / Diagram.net,"Easy to use, Rich of features, Already used in my development company, Free to use","Hard to mantain, Lack of existing documentation","New potential contributors, Existing contributors",4,4,4,4,4,No,,Identification of architecture components,,
12/13/2024 11:30:57,A graphical representation showing the structure of system components,16+ years,21+ projects,Core/maintainer team member,"Software Developer, Software Architect, Product Owner, Technical Lead",Both creating and using architecture views,4,2,3,4,2,3,"Clarify the system structure, Support onboarding new developers, Aid system documentation",Connection of components,Maintainability,Very important,Important,Important,,Important,Very important,Important,Neutral,Neutral,Neutral,Important,,"Draw.io / Diagram.net, PowerPoint / Keynote / Slides","Easy to use, Free to use, Supports collaboration",Lack of templates,New potential contributors,3,3,4,2,3,No,,"Identification of architecture components, Identification of connections / interaction between components",,
12/13/2024 16:20:33,A graphical representation showing the structure of system components,16+ years,11-20 projects,Occasional contributor,"Software Architect, DevOps Engineer",Both creating and using architecture views,3,2,1,3,5,3,"Clarify the system structure, Assist communication among team members, Help in design decision-making","Data flow, Connection of components",Maintainability,Very important,Important,Neutral,"UML, ArchiMate",Neutral,Important,Very important,Neutral,Important,Neutral,Neutral,,Draw.io / Diagram.net,"Easy to use, Rich of features, Versatile, Free to use","Complex to create, Hard to mantain","Myself, New potential contributors, Existing contributors, Project maintainers",3,3,4,2,1,No,,"Identification of architecture components, Identification of connections / interaction between components",,
12/13/2024 16:39:58,A graphical representation showing the structure of system components,7-10 years,4-10 projects,Occasional contributor,"DevOps Engineer, Site Reliability Engineer",Both creating and using architecture views,5,1,3,3,3,3,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Aid system documentation, Show component dependencies","Control flow, Data flow, Connection of components",Functionality,Very important,Neutral,Important,,Unimportant,Important,Neutral,Neutral,Neutral,Neutral,Very important,,"Draw.io / Diagram.net,  Excalidraw, Mermaid,Cloudcraft (earlier, don't use any more)","Easy to use, Integration with other tools, Free to use, diagram as code support","Hard to mantain, Lack of existing documentation",all of above,3,3,2,3,3,No,,all of above,More diagrams as code as well as diagrams from code.,
12/13/2024 17:04:57,A graphical representation showing the structure of system components,7-10 years,21+ projects,Core/maintainer team member,Software Developer,Neither,4,2,3,5,4,2,"Support onboarding new developers, Ease understanding complex interactions, Help in design decision-making, Visualize runtime behaviour, Show component dependencies","Control flow, Data flow","Functionality, Performance",Neutral,Neutral,Neutral,,Unimportant,Unimportant,Unimportant,Unimportant,Unimportant,Unimportant,Unimportant,,Draw.io / Diagram.net,,"Hard to mantain, Lack of existing documentation, Too time consuming, Nobody uses the architecture views afterwards, Insufficient architectural design skills","Existing contributors, Project maintainers",5,3,2,4,2,No,,"Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/14/2024 0:41:00,A graphical representation showing the structure of system components,16+ years,4-10 projects,Regular contributor,Technical Lead,Creating architecture views,5,3,5,5,3,5,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Assist communication among team members, Help in design decision-making, Highlight architecture patterns, Show component dependencies",difficulty to track the updates,"Functionality, Interaction capability",Very important,Very important,Very important,"UML, TOGAF",Very important,Very important,Neutral,Very important,Neutral,Very unimportant,Very unimportant,,"Draw.io / Diagram.net, PowerPoint / Keynote / Slides","Easy to use, Presence of templates","Hard to mantain, Lack of templates","Myself, End users, New potential contributors, Existing contributors, Project maintainers",5,5,4,1,1,No,,"Architecture view creation, Architecture view update",,
12/14/2024 1:24:44,A graphical representation showing the structure of system components,16+ years,4-10 projects,Occasional contributor,Former team member ,Using architecture views,3,1,1,3,2,3,"Clarify the system structure, Ease understanding complex interactions, Help in design decision-making, Show component dependencies","Control flow, Data flow, Connection of components",Functionality,Unimportant,Very unimportant,Very unimportant,UML,Unimportant,Very unimportant,Very unimportant,Neutral,Important,Neutral,Very unimportant,,"Draw.io / Diagram.net, PowerPoint / Keynote / Slides","Easy to use, Already used in my development company, Versatile, Free to use",Hard to mantain,"New potential contributors, Existing contributors, Project maintainers",4,3,3,3,3,No,,Identification of connections / interaction between components,,
12/14/2024 11:28:50,A graphical representation showing the structure of system components,4-6 years,1-3 projects,Core/maintainer team member,"Software Developer, DevOps Engineer",Both creating and using architecture views,2,1,4,5,4,3,"Support onboarding new developers, Ease understanding complex interactions, Assist communication among team members, Help in design decision-making, Aid system documentation, Highlight architecture patterns, Show component dependencies","General documentation, Control flow, Connection of components","Functionality, Maintainability",Very important,Important,Very important,"UML, 4+1 View Model, TOGAF",Neutral,Very important,Important,Neutral,Neutral,Neutral,Very important,,Draw.io / Diagram.net,"Easy to use, Rich of features, Integration with other tools, Versatile, Presence of templates, Free to use, Supports collaboration","Perceived low value, Hard to mantain, Too time consuming, Nobody uses the architecture views afterwards","End users, New potential contributors, Project maintainers",4,4,3,3,4,No,,"Identification of architecture components, Identification of connections / interaction between components, Architecture view update, Architecture view validation, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/14/2024 12:46:50,A graphical representation showing the structure of system components,2-3 years,4-10 projects,Occasional contributor,Software Developer,Using architecture views,2,4,5,5,4,5,"Clarify the system structure, Ease understanding complex interactions, Help in design decision-making, Highlight architecture patterns","Control flow, Connection of components","Functionality, Performance, Compatibility, Interaction capability, Reliability, Security, Maintainability, Flexibility",Very important,Important,Neutral,,Important,Very important,Important,Very important,Very important,Neutral,Neutral,,Draw.io / Diagram.net,Already used in my development company,"Lack of templates, Lack of existing documentation, Too time consuming",Myself,4,4,4,4,4,Yes,,"Architecture view creation, Architecture view update, Architecture view validation",,
12/14/2024 14:10:21,A graphical representation showing the structure of system components,16+ years,1-3 projects,Occasional contributor,"Software Architect, Solutions Architect Manager",Both creating and using architecture views,2,1,1,3,5,4,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Assist communication among team members, Help in design decision-making, Aid system documentation, Facilitate system evolution tracking, Highlight architecture patterns, Visualize runtime behaviour, Show component dependencies","General documentation, Deployment, Control flow, Data flow, Connection of components","Reliability, Security, Maintainability, Flexibility",Very important,Neutral,Very important,"UML, C4, 4+1 View Model",Very important,Very important,Very important,Very important,Very important,Very important,Very important,,"Draw.io / Diagram.net, AWS Architecture, PowerPoint / Keynote / Slides","Easy to use, Rich of features, Frequent updates, Integration with other tools, Supports collaboration","Complex to create, Hard to mantain, Nobody uses the architecture views afterwards","Myself, End users, New potential contributors, Project maintainers",5,5,5,5,5,Yes,"Draw.io, Miro, Visual Paradigm","Identification of architecture components, Identification of connections / interaction between components, Architecture view validation, Linking architecture view elements to code artefacts (code classes, technologies, etc)",Perhaps LLM for IT domain would be the best assistant.,
12/14/2024 15:56:18,A graphical representation showing the structure of system components,7-10 years,4-10 projects,Core/maintainer team member,"Software Developer, Software Architect, Technical Lead, DevOps Engineer",Both creating and using architecture views,4,3,4,5,3,2,"Clarify the system structure, Help in design decision-making, Facilitate system evolution tracking, Highlight architecture patterns, Show component dependencies","Deployment, Control flow, Connection of components","Functionality, Security, Maintainability",Important,Neutral,Important,,Important,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,"Draw.io / Diagram.net, PowerPoint / Keynote / Slides","Easy to use, Already used in my development company, Free to use, Supports collaboration","Lack of templates, Lack of tools, Too time consuming, Nobody uses the architecture views afterwards",Project maintainers,4,3,3,3,3,No,,"Architecture view creation, Architecture view update, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/14/2024 15:58:50,A detailed code implementation of a software system,16+ years,4-10 projects,Core/maintainer team member,"Software Architect, Technical Lead",Both creating and using architecture views,5,4,3,3,4,4,"Clarify the system structure, Support onboarding new developers, Assist communication among team members, Highlight architecture patterns, Show component dependencies","General documentation, Deployment, Control flow, Data flow, Connection of components","Functionality, Compatibility, Reliability, Security, Maintainability, Flexibility",Very important,Important,Very important,"UML, C4",Important,Very important,Important,Very important,Very important,Important,Neutral,,Draw.io / Diagram.net,"Easy to use, Already used in my development company, Integration with other tools, Versatile, Presence of templates, Free to use, Supports collaboration","Lack of templates, Lack of tools, Lack of existing documentation, Too time consuming","End users, Existing contributors, Project maintainers",5,5,5,5,5,No,,"Identification of architecture components, Identification of connections / interaction between components, Architecture view creation, Architecture view update, Architecture view validation, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/14/2024 19:00:51,A graphical representation showing the structure of system components,16+ years,4-10 projects,Core/maintainer team member,"Software Architect, Product Owner, Technical Lead",Both creating and using architecture views,5,5,2,2,5,4,"Clarify the system structure, Support onboarding new developers, Assist communication among team members, Aid system documentation, Highlight architecture patterns, Visualize runtime behaviour, Show component dependencies","General documentation, Connection of components",Functionality,Very important,Neutral,Neutral,UML,Very important,Very important,Very important,Unimportant,Important,Neutral,Very unimportant,,Draw.io / Diagram.net,"Easy to use, Presence of templates, Supports collaboration","Complex to create, Nobody uses the architecture views afterwards","Myself, New potential contributors",5,4,4,1,1,No,,"Architecture view update, Architecture view validation",generated by textual description,
12/14/2024 19:34:11,A graphical representation showing the structure of system components,4-6 years,1-3 projects,Core/maintainer team member,Software Developer,Using architecture views,4,2,3,4,2,3,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Visualize runtime behaviour, Show component dependencies","Control flow, Data flow","Functionality, Maintainability, Flexibility, Safety",Very important,Neutral,Neutral,,Very important,Important,Important,Unimportant,Neutral,Important,Very important,,"PowerPoint / Keynote / Slides, Visio",Already used in my development company,"Perceived low value, Complex to create, Too time consuming, Nobody uses the architecture views afterwards, Insufficient architectural design skills","Myself, End users",3,4,3,2,2,No,,"Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/14/2024 20:20:04,A graphical representation showing the structure of system components,11-15 years,21+ projects,Core/maintainer team member,Product Owner,Both creating and using architecture views,4,1,2,4,3,2,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Aid system documentation, Highlight architecture patterns","Control flow, Connection of components","Functionality, Maintainability, Flexibility",Very important,Important,Very important,,Important,Very important,Very important,Unimportant,Neutral,Very important,Important,,Miro / Milanote,"Easy to use, Integration with other tools, Versatile, Free to use, Supports collaboration","Perceived low value, Nobody uses the architecture views afterwards","New potential contributors, Existing contributors",2,4,4,2,1,No,,Architecture view update,,
12/15/2024 0:00:21,A graphical representation showing the structure of system components,16+ years,11-20 projects,Occasional contributor,"Software Developer, DevOps Engineer",Neither,3,1,3,4,3,2,"Clarify the system structure, Support onboarding new developers, Help in design decision-making","Control flow, Connection of components","Functionality, Maintainability",Important,Important,Important,UML,Important,Important,Unimportant,Unimportant,Unimportant,Important,Important,,OmniGraffle,Easy to use,Nobody uses the architecture views afterwards,"Myself, New potential contributors, Existing contributors",2,2,2,2,3,Yes,"I've used rational rose in the past, but haven't for over ten years.","Identification of architecture components, Identification of connections / interaction between components, Architecture view creation, Architecture view update, Architecture view validation, Linking architecture view elements to code artefacts (code classes, technologies, etc)",A lot of this can be done by LLMs already,
12/15/2024 1:29:17,A graphical representation showing the structure of system components,4-6 years,4-10 projects,Occasional contributor,Software Developer,Both creating and using architecture views,5,3,3,4,5,3,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Assist communication among team members, Help in design decision-making, Aid system documentation, Facilitate system evolution tracking, Highlight architecture patterns, Show component dependencies","Control flow, Data flow, Connection of components","Functionality, Compatibility, Interaction capability, Flexibility",Very important,Important,Important,C4,Neutral,Important,Important,Important,Important,Important,Important,,"Draw.io / Diagram.net, Miro","Easy to use, Rich of features, Integration with other tools, Versatile, Presence of templates, Free to use","Perceived low value, Lack of templates, Too time consuming, Insufficient architectural design skills","Myself, New potential contributors, Existing contributors, Project maintainers",5,5,3,4,3,No,,"Identification of architecture components, Identification of connections / interaction between components, Architecture view creation, Architecture view update, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/15/2024 1:49:12,A graphical representation showing the structure of system components,16+ years,21+ projects,Core/maintainer team member,Engineering Manager,Both creating and using architecture views,4,2,4,5,3,2,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Assist communication among team members, Aid system documentation, Highlight architecture patterns, Show component dependencies",General documentation,Not sure,Very important,Unimportant,Unimportant,,Very unimportant,Important,Very important,Unimportant,Important,Very important,Important,,"Draw.io / Diagram.net, PowerPoint / Keynote / Slides, ascii diagrams on markdown","Easy to use, Integration with other tools, Versatile, Supports collaboration","Hard to mantain, Lack of templates, Lack of tools","Myself, New potential contributors, Existing contributors, Project maintainers",5,5,3,2,1,No,,"Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/15/2024 3:57:38,A graphical representation showing the structure of system components,16+ years,4-10 projects,Occasional contributor,Technical Lead,Both creating and using architecture views,5,3,1,4,4,2,"Assist communication among team members, Help in design decision-making, Highlight architecture patterns",Connection of components,"Functionality, Flexibility",Very important,Neutral,Very important,UML,Important,Very important,Neutral,Unimportant,Unimportant,Neutral,Very unimportant,,"Draw.io / Diagram.net, PowerPoint / Keynote / Slides","Already used in my development company, Versatile, Supports collaboration",Hard to mantain,project stakeholders,4,5,4,1,1,No,,Identification of connections / interaction between components,,
12/15/2024 11:03:31,A graphical representation showing the structure of system components,16+ years,21+ projects,Regular contributor,"Software Developer, Software Architect, Technical Lead",Both creating and using architecture views,4,2,2,4,4,4,"Clarify the system structure, Ease understanding complex interactions, Help in design decision-making","General documentation, Control flow, Data flow","Functionality, Performance, Reliability, Maintainability, Flexibility",Important,Important,Neutral,,Neutral,Neutral,Important,Important,Important,Neutral,Important,,By hand,,Hard to mantain,"Myself, New potential contributors, Existing contributors, Project maintainers",4,4,3,3,4,No,,Identification of architecture components,,
12/15/2024 11:41:20,A graphical representation showing the structure of system components,7-10 years,4-10 projects,Occasional contributor,DevOps Engineer,Both creating and using architecture views,2,1,3,4,2,5,"Clarify the system structure, Support onboarding new developers, Assist communication among team members, Aid system documentation, Highlight architecture patterns, Visualize runtime behaviour","General documentation, Data flow, Connection of components","Functionality, Interaction capability",Very important,Important,Neutral,UML,Neutral,Very important,Neutral,Very important,Neutral,Neutral,Unimportant,,Draw.io / Diagram.net,"Already used in my development company, Integration with other tools, Free to use, Supports collaboration","Hard to mantain, Lack of templates, Too time consuming","Myself, New potential contributors, Existing contributors",5,5,4,3,3,No,,"Architecture view creation, Architecture view update, Architecture view validation, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
